a bit	கொஞ்சம்
made me look good	நல்ல பெயர் வாங்க உதவியது
mailing list	அஞ்சல் பட்டியல்
maintain	பராமரி
make time	நேரம் ஒதுக்கு
malicious	தீய
Manager	மேலாளர்
manual	கையேடு
marketing	மாறுகூற்று
master	முதுகலை பட்டம்
maze	புதிர்பாதை
MediaWiki	மீடியாவிக்கி
member	உறுப்பினர்
memory	நினைவகம்
mentor	வழிகாட்டி
meritocracy	தகுதிக்கு மதிப்பு
microeconomics	நிறுவன அளவிலான பொருளாதாரம்
microeconomics	நுண்பொருளியல்
Microsoft	மைக்ரோசாப்ட்
misconception	தவறான கருத்து
mobile phone	அலைப்பேசி
moderate	மட்டுறுத்து
Modular	தொகுதியாக
module	கூறு
mom-and-pop business	ஒரு குடும்பத்தினரே நடத்தும் நிறுவனம்
moral	அறமுறையான
more noise than gain	பயனை விட கவனச் சிதறல் அதிகம்
motivation	உந்துதல்
Mozilla	மோசில்லா
Mulesoft	மியூல்சாப்ட்
multimedia	பல்லூடகம்
multiple	பன்முக
multi-tenant	பல்குடியிருப்பாளர்
Mumbai	மும்பை
natural language processing	இயல்பு மொழி செயல்படுத்தல் 
network	பிணையம்
newbie	கற்றுக் குட்டி
newcomer	புதுமுகம்
New Delhi	புது தில்லி
new product development	புதிய தயாரிப்பு வளராக்கம்
non-profit	இலாப நோக்கற்ற அமைப்பு
obscurity	இருட்டடிப்பு
occasion	தருணம்
Odoo	ஓடூ
off-the-shelf option	ஆயத்த தேர்வு
on their own	தங்கள் கால்களிலேயே நிற்க வேண்டும்
open core	திறந்த உள்ளகம்
OpenHatch	ஓபன்ஹாட்ச்
open source	திறந்த மூலம்
operating system	இயக்குதளம்
orders of magnitude	பல மடங்கு
organise	ஏற்பாடு செய்
organization	நிறுவனம்
outdated	காலாவதியான
outlier	அரிதான
overreach	அகலக்கால்
owner	உரிமையாளர்
packaging	தொகுப்பு
pain point	பிரச்சினை
partition	தடுப்பு
party	கொண்டாட்டம்
passionate	முற்றார்வ
passion	அதீத ஆர்வம்
patch	சீரமைப்பு
patch	நிரல் ஒட்டு
patent	காப்புரிமை
pay a fortune	எக்கசக்கமாக செலவு
payment system	கட்டணம் செலுத்தும் முறை
perfect	உத்தமம்
performance	செயல்வேகம்
Perl	பேர்ல்
permission	அனுமதி
Perseverence	விடாமுயற்சி
perspective	கண்ணோட்டம்
pitfall	படுகுழி
platform	இயக்குதளம்
platform	செயற்பாட்டுமேடை
Play by the rules	விதிமுறைகளுடன் ஒத்துழை
plethora	பலவகையான
plugin	உட்பொருத்தி
pointer	சுட்டி
poke around	முனைந்து பார்
port	ஏற்புடையதாக மாற்றம் செய்
positive	நேர்மறை
possible	சாத்தியமான
PostgreSQL	போஸ்ட்கிரஸ் க்யூ எல்
potential	சாத்தியம்
pragmatic	நடைமுறைக்கேற்ற
pre-condition	முன்தேவை
pre-install	முன் நிறுவு
pre-load	முன் ஏற்று
presentation	விளக்கக்காட்சி
preview	முன்னோட்டம்
principle	கொள்கை
priority	முன்னுரிமை
process	செயல்முறை
productivity	உற்பத்தித் திறன்
product	தயாரிப்பு
professional	தொழில்சார்
professional	தொழில் நெறிஞர்
Professional	வல்லுநர்
programmer	நிரலாளர்
program	நிரல்
ProjectLibre	ப்ராஜக்ட்லிபர்
projector	ஒளிப்படக்காட்டி
project	திட்டம்
proposal	திட்ட செயற்குறிப்பு
proprietary	தனியுரிமம்
prototype	முன்மாதிரி
pro	தொழில் நெறிஞர்
public	பகிரங்கம்
publisher	வெளியீட்டாளர்
pull request	இழு கோரிக்கை
Put another way	வேறு விதமாக சொல்லப்போனால்
quantum physics	குவைய இயற்பியல்
quasi-governmental	பகுதியளவில் அரசாங்க
query	வினவல்
R & D	ஆராய்ச்சியும் உருவாக்கமும்
reach out	தொடர்பு கொள்
recipe	செய்முறை
recommend	பரிந்துரை
recreate	மீட்டமை
recruiter	தேர்வாளர்
recruiting	ஆட்சேர்ப்பு
redistribution	மறுவிநியோகம்
reference	குறிப்புதவி
rehearsal	ஒத்திகை
release	வெளியீடு
Remote Computer	தொலைக் கணினி
remote computing	தொலைக் கணிமை
remote control	தொலை இயக்கி
rendering	மீள்தருகை
replacement	மாற்றீடு
repository	களஞ்சியம்
Research & Development	ஆராய்ச்சியும் உருவாக்கமும்
resource	வளம்
restore	மீட்டெடு
resurrect	புத்துயிர் கொடு
reusable	மறுபயனுறும்
review	மறுசீராய்வு
review	மறுபரிசீலனை
risk	இடர்
robustness	உறுதித்தன்மை
rules of thumb	எளிய விதிகள்
run a tight ship	கட்டுப்பாட்டுடன் இயக்கு
run up against a wall	சுவரில் முட்டியதுபோல் நில்
scientist	அறிவியலாளர்
search engine	தேடுபொறி
Seattle	சியாட்டில்
secret sauce	தனிச்சிறப்பு
security	பாதுகாப்பு
self-driving	தானியங்கி
semester	அரைக் கல்வியாண்டு
server	வழங்கி
service	சேவை
Servlet	குறுவழங்கி
Sharepoint	ஷேர்பாயிண்ட்
share	பகிர்ந்து கொள்
showcase	காட்சிப்படுத்து
sift	பீராய்
silence gives assent	மௌனம் சம்மதம்
simulate	உருவகப்படுத்து
slick	நயமிக்க
small business	சிறு நிறுவனம்
smart phone	திறன்பேசி
snoop	ஒட்டுக் கேள்
social media	சமூக ஊடகம்
software	மென்பொருள்
solution	தீர்வு
sophisticated	அதிநவீன
source code	மூலக் குறியீடு
sour grapes	சீச்சீ இந்தப்பழம் புளிக்கும்
specialization	தனித்துறை
spreadsheet	விரிதாள்
spread thin	அகலக்கால் வை
spy	உளவு
SQL	சீக்வல்
Stability	உறுதிப்பாடு
stable	நிலையான
stack trace	வழு அடுக்குத்தடம்
stand on the shoulders	அடிப்படையாக வைத்து அதன் மேல் கட்டு
stand up	நிறுவு
startup	துளிர் நிறுவனம்
stick with	இணைந்திரு
strategy	உத்தி
strategy	வியூகம்
streaming video	தாரை ஒளிக்காட்சி
stuck through	விடாது இரு
submit	சமர்ப்பி
supercomputer	மீக்கணினி
superfan	தீவிர ரசிகர்
surfacing	தெரியவருகிறது
switch	இயக்கி
switch	மாற்று
symmetry	சமச்சீர்
syntax	தொடரியல்
tablet	கைக்கணினி
take the plunge	உள்ளே நுழை
tap the knowledge	திறனை அணுகு
technical debt	அறைகுறை வேலை
technology	தொழில்நுட்பம்
terminal	முனையம்
test	சோதி
theme	கருப்பொருள்
thick-skin	சண்டி
thrown at it	கிடைக்க வாய்ப்பு
timezone	நேரமண்டலம்
to name a few	எடுத்துக்காட்டாக
tool	கருவி
total cost of ownership	உடைமையின் மொத்த செலவு
tradition	பாரம்பரியம்
tradition	மரபு
transformation	அடிப்படை மாற்றம்
translate	மொழிபெயர்
transparency	ஒளிபுகு நிலை
transparency	ஒளிவின்மை
transparency	வெளிப்படைத்தன்மை
triage	வகைப்படுத்து
trial	வெள்ளோட்டம்
troll	வீண் வம்பு செய்பவர்
TV	தொலைக்காட்சி
Ubuntu	உபுண்டு
unique	தனித்தன்மை வாய்ந்த
up-front	ஆரம்ப கட்டம்
Upstream	நீரோட்டத்தின் மேல்புறம்
use case	பயன்முறை
user	பயனர்
vacuum	வெற்றிடம்
validate	செல்லத்தக்கதாக்கு
venture capital	துணிகர முதல்
venture capital	துணிகர மூலதனம்
venture into	துணிகரமாய் இறங்கு
version control system	பதிப்பு கட்டுப்பாடு அமைப்பு
version control	பதிப்பு கட்டுப்பாடு
video game	நிகழ்பட ஆட்டம்
virtually all	அனேகமாக எல்லாம்
virtual	மெய்நிகர்
virus	நச்சுநிரல்
vote	வாக்கு
vulnerability	பாதுகாப்பு குறைபாடு
web browser	இணைய உலாவி
website	இணையதளம்
When given a lose-lose choice	எதைச்செய்தாலும் பிரச்சினைதான் என்ற இக்கட்டான கட்டம்
whirlwind	சூறாவளி
Wi-Fi	கம்பியில்லாத் தொடர்பகம்
wifi	கம்பியில்லாத் தொடர்பகம்
Wikimedia	விக்கிமீடியா
Wikipedia	விக்கிப்பீடியா
wiki	விக்கி
Windows	விண்டோஸ்
window	சாளரம்
word-of-mouth recommendation	வாய்வழிப் பரிந்துரை
WordPress	வேர்ட்பிரஸ்
word processing	சொல் செயலாக்கம்
workaround	தற்காலிகத் தீர்வு
workflow	பணிப்பாய்வு
workflow	வேலையோட்டம்
workshop	பட்டறை
works	தோதானது
Zarafa	ஸராஃபா
Zimbra	ஸிம்ப்ரா

